id;Latex;English 1;English 2;English 3
665;\psi(y, y) = 717 a^2 + 662\delta\epsilon + 297\zeta^2;Psi of y, y equals 717 a squared plus 662 delta eflon plus 297 zeta squared.;The function psi with parameters y and y is equal to 717 times a squared, plus 662 times delta eflon, plus 297 times zeta squared.;Psi as a function of y and y is given by 717 times the square of a, plus 662 times the product of delta and eflon, plus 297 times the square of zeta.
666;f(\zeta, y) = 720 \zeta^2 + 740\delta\epsilon + 781\zeta^2;F of zeta, y equals 26 zeta squared plus 740 delta eflon plus 781 zeta squared.;The function f with parameters zeta and y is equal to 26 times zeta squared, plus 740 times delta eflon, plus 781 times zeta squared.;F as a function of zeta and y is given by 26 times the square of zeta, plus 740 times the product of delta and eflon, plus 781 times the square of zeta.
667;f(\alpha, b) = 670 \delta^2 + 294\delta\epsilon + 793\zeta^2;F of alpha, b equals 670 delta squared plus 294 delta epsilon plus 793 zeta squared.;The function f with parameters alpha and b is equal to 670 times delta squared, plus 294 times delta epsilon, plus 793 times zeta squared.;F as a function of alpha and b is given by 670 times the square of delta, plus 294 times the product of delta and epsilon, plus 793 times the square of zeta.
668;g(\eta, \beta) = 489 b^2 + 184\delta\epsilon + 302\zeta^2;G of eta, beta equals 489 b squared plus 184 delta epsilon plus 302 zeta squared.;The function g with parameters eta and beta is equal to 489 times b squared, plus 184 times delta epsilon, plus 302 times zeta squared.;G as a function of eta and beta is given by 489 times the square of b, plus 184 times the product of delta and epsilon, plus 302 times the square of zeta.
669;h(x, \eta) = 700 \zeta^2 + 801\delta\epsilon + 353\zeta^2;H of x, eta equals 700 zeta squared plus 801 delta ehlon plus 353 zeta squared.;The function h with parameters x and eta is equal to 700 times zeta squared, plus 801 times delta ehlon, plus 353 times zeta squared.;H as a function of x and eta is given by 700 times the square of zeta, plus 801 times the product of delta and ehlon, plus 353 times the square of zeta.
670;h(\zeta, \delta) = 502 y^2 + 164\delta\epsilon + 196\zeta^2;H of zeta, delta equals 502 y squared plus 164 delta eglon plus 196 zeta squared.;The function h with parameters zeta and delta is equal to 502 times y squared, plus 164 times delta eglon, plus 196 times zeta squared.;H as a function of zeta and delta is given by 502 times the square of y, plus 164 times the product of delta and eglon, plus 196 times the square of zeta.
671;\phi(a, \beta) = 576 \delta^2 + 309\delta\epsilon + 302\zeta^2;Phi of a, beta equals 576 delta squared plus 309 delta ephilon plus 302 zeta squared.;The function phi with parameters a and beta is equal to 576 times delta squared, plus 309 times delta ephilon, plus 302 times zeta squared.;Phi as a function of a and beta is given by 576 times the square of delta, plus 309 times the product of delta and ephilon, plus 302 times the square of zeta.
672;\psi(z, y) = 469 z^2 + 395\delta\epsilon + 509\zeta^2;Psi of z, y equals 469 z squared plus 395 delta ehlon plus 509 zeta squared.;The function psi with parameters z and y is equal to 469 times z squared, plus 395 times delta ehlon, plus 509 times zeta squared.;Psi as a function of z and y is given by 469 times the square of z, plus 395 times the product of delta and ehlon, plus 509 times the square of zeta.
673;h(a, \eta) = 152 b^2 + 539\delta\epsilon + 648\zeta^2;H of a, eta equals 152 b squared plus 539 delta ehlon plus 648 zeta squared.;The function h with parameters a and eta is equal to 152 times b squared, plus 539 times delta ehlon, plus 648 times zeta squared.;H as a function of a and eta is given by 152 times the square of b, plus 539 times the product of delta and ehlon, plus 648 times the square of zeta.
674;\phi(\alpha, \eta) = 936 b^2 + 316\delta\epsilon + 946\zeta^2;Phi of alpha, eta equals 936 b squared plus 316 delta ehlon plus 946 zeta squared.;The function phi with parameters alpha and eta is equal to 936 times b squared, plus 316 times delta ehlon, plus 946 times zeta squared.;Phi as a function of alpha and eta is given by 936 times the square of b, plus 316 times the product of delta and ehlon, plus 946 times the square of zeta.
675;h(x, \epsilon) = 306 \epsilon^2 + 634\delta\epsilon + 136\zeta^2;H of x, epsilon equals 306 epsilon squared plus 634 delta eflon plus 136 zeta squared.;The function h with parameters x and epsilon is equal to 306 times epsilon squared, plus 634 times delta eflon, plus 136 times zeta squared.;H as a function of x and epsilon is given by 306 times the square of epsilon, plus 634 times the product of delta and eflon, plus 136 times the square of zeta.
676;h(\alpha, \gamma) = 413 \gamma^2 + 96\delta\epsilon + 912\zeta^2;H of alpha, gamma equals 413 gamma squared plus 96 delta ehlon plus 912 zeta squared.;The function h with parameters alpha and gamma is equal to 413 times gamma squared, plus 96 times delta ehlon, plus 912 times zeta squared.;H as a function of alpha and gamma is given by 413 times the square of gamma, plus 96 times the product of delta and ehlon, plus 912 times the square of zeta.
677;f(z, \zeta) = 503 \gamma^2 + 354\delta\epsilon + 249\zeta^2;F of z, zeta equals 503 gamma squared plus 354 delta eflon plus 249 zeta squared.;The function f with parameters z and zeta is equal to 503 times gamma squared, plus 354 times delta eflon, plus 249 times zeta squared.;F as a function of z and zeta is given by 503 times the square of gamma, plus 354 times the product of delta and eflon, plus 249 times the square of zeta.
678;\omega(b, \eta) = 233 b^2 + 892\delta\epsilon + 510\zeta^2;Omega of b, eta equals 233 b squared plus 892 delta eomegalon plus 510 zeta squared.;The function omega with parameters b and eta is equal to 233 times b squared, plus 892 times delta eomegalon, plus 510 times zeta squared.;Omega as a function of b and eta is given by 233 times the square of b, plus 892 times the product of delta and eomegalon, plus 510 times the square of zeta.
679;g(\epsilon, \eta) = 467 \beta^2 + 886\delta\epsilon + 30\zeta^2;G of epsilon, eta equals 467 beta squared plus 886 delta eglon plus 30 zeta squared.;The function g with parameters epsilon and eta is equal to 467 times beta squared, plus 886 times delta eglon, plus 30 times zeta squared.;G as a function of epsilon and eta is given by 467 times the square of beta, plus 886 times the product of delta and eglon, plus 30 times the square of zeta.
680;h(y, \eta) = 751 z^2 + 200\delta\epsilon + 395\zeta^2;H of y, eta equals 751 z squared plus 200 delta ephilon plus 395 zeta squared.;The function h with parameters y and eta is equal to 751 times z squared, plus 200 times delta ephilon, plus 395 times zeta squared.;H as a function of y and eta is given by 751 times the square of z, plus 200 times the product of delta and ephilon, plus 395 times the square of zeta.
681;f(c, x) = 588 \alpha^2 + 722\delta\epsilon + 975\zeta^2;F of c, x equals 588 alpha squared plus 722 delta eglon plus 975 zeta squared.;The function f with parameters c and x is equal to 588 times alpha squared, plus 722 times delta eglon, plus 975 times zeta squared.;F as a function of c and x is given by 588 times the square of alpha, plus 722 times the product of delta and eglon, plus 975 times the square of zeta.
682; \zeta \mapsto y;Zeta maps to Y.;Zeta is mapped to Y.;We map Zeta to Y.
683; \eta \mapsto \delta;Eta maps to Delta.;Eta is mapped to Delta.;We map Eta to Delta.
684; y \mapsto x;Y maps to X.;Y is mapped to X.;We map Y to X.
685; x \mapsto y;X maps to Y.;X is mapped to Y.;We map X to Y.
686; c \mapsto c;C maps to C.;C is mapped to C.;We map C to C.
687; x \mapsto \delta;X maps to Delta.;X is mapped to Delta.;We map X to Delta.
688; b \mapsto \eta;B maps to Eta.;B is mapped to Eta.;We map B to Eta.
689; z \mapsto c;Z maps to C.;Z is mapped to C.;We map Z to C.
690; \delta \mapsto \delta;Delta maps to Delta.;Delta is mapped to Delta.;We map Delta to Delta.
691; \zeta \mapsto \delta;Zeta maps to Delta.;Zeta is mapped to Delta.;We map Zeta to Delta.
692; b \mapsto \zeta;B maps to Zeta.;B is mapped to Zeta.;We map B to Zeta.
693; c \mapsto \delta;C maps to Delta.;C is mapped to Delta.;We map C to Delta.
694; y \mapsto x;Y maps to X.;Y is mapped to X.;We map Y to X.
695; b \mapsto \zeta;B maps to Zeta.;B is mapped to Zeta.;We map B to Zeta.
696; \eta \mapsto c;Eta maps to C.;Eta is mapped to C.;We map Eta to C.
697; b \mapsto \epsilon;B maps to Epsilon.;B is mapped to Epsilon.;We map B to Epsilon.
698; z \mapsto c;Z maps to C.;Z is mapped to C.;We map Z to C.
699; \epsilon \mapsto a;Epsilon maps to A.;Epsilon is mapped to A.;We map Epsilon to A.
700; \zeta \mapsto x;Zeta maps to X.;Zeta is mapped to X.;We map Zeta to X.
701; a \mapsto x;A maps to X.;A is mapped to X.;We map A to X.
702;\langle y, y \rangle = \epsilon \cdot \delta;The inner product of y and y equals epsilon times delta.;Y and y's inner product is equal to the product of epsilon and delta.;The dot product of y and y is epsilon multiplied by delta.
703;\langle \alpha, \alpha \rangle = \gamma \cdot \delta;The inner product of alpha and alpha equals gamma times delta.;Alpha and alpha's inner product is equal to the product of gamma and delta.;The dot product of alpha and alpha is gamma multiplied by delta.
704;\langle a, a \rangle = a \cdot \delta;The inner product of a and a equals a times delta.;A and a's inner product is equal to the product of a and delta.;The dot product of a and a is a multiplied by delta.
705;\langle c, \delta \rangle = \eta \cdot \delta;The inner product of c and delta equals eta times delta.;C and delta's inner product is equal to the product of eta and delta.;The dot product of c and delta is eta multiplied by delta.
706;\langle \eta, \delta \rangle = \gamma \cdot \delta;The inner product of eta and delta equals gamma times delta.;Eta and delta's inner product is equal to the product of gamma and delta.;The dot product of eta and delta is gamma multiplied by delta.
707;\langle y, \zeta \rangle = y \cdot \delta;The inner product of y and zeta equals y times delta.;Y and zeta's inner product is equal to the product of y and delta.;The dot product of y and zeta is y multiplied by delta.
708;\langle x, x \rangle = x \cdot \delta;The inner product of x and x equals x times delta.;X and x's inner product is equal to the product of x and delta.;The dot product of x and x is x multiplied by delta.
709;\langle \delta, x \rangle = \zeta \cdot \delta;The inner product of delta and x equals zeta times delta.;Delta and x's inner product is equal to the product of zeta and delta.;The dot product of delta and x is zeta multiplied by delta.
710;\langle y, \alpha \rangle = y \cdot \delta;The inner product of y and alpha equals y times delta.;Y and alpha's inner product is equal to the product of y and delta.;The dot product of y and alpha is y multiplied by delta.
711;\langle \alpha, \eta \rangle = \eta \cdot \delta;The inner product of alpha and eta equals eta times delta.;Alpha and eta's inner product is equal to the product of eta and delta.;The dot product of alpha and eta is eta multiplied by delta.
712;\langle \eta, z \rangle = \zeta \cdot \delta;The inner product of eta and z equals zeta times delta.;Eta and z's inner product is equal to the product of zeta and delta.;The dot product of eta and z is zeta multiplied by delta.
713;\langle c, z \rangle = c \cdot \delta;The inner product of c and z equals c times delta.;C and z's inner product is equal to the product of c and delta.;The dot product of c and z is c multiplied by delta.
714;\langle a, \eta \rangle = \alpha \cdot \delta;The inner product of a and eta equals alpha times delta.;A and eta's inner product is equal to the product of alpha and delta.;The dot product of a and eta is alpha multiplied by delta.
715;\langle a, a \rangle = \beta \cdot \delta;The inner product of a and a equals beta times delta.;A and a's inner product is equal to the product of beta and delta.;The dot product of a and a is beta multiplied by delta.
716;\langle b, \zeta \rangle = c \cdot \delta;The inner product of b and zeta equals c times delta.;B and zeta's inner product is equal to the product of c and delta.;The dot product of b and zeta is c multiplied by delta.
717;\langle b, a \rangle = x \cdot \delta;The inner product of b and a equals x times delta.;B and a's inner product is equal to the product of x and delta.;The dot product of b and a is x multiplied by delta.
718;\langle z, \zeta \rangle = y \cdot \delta;The inner product of z and zeta equals y times delta.;Z and zeta's inner product is equal to the product of y and delta.;The dot product of z and zeta is y multiplied by delta.
719;\langle z, \alpha \rangle = \alpha \cdot \delta;The inner product of z and alpha equals alpha times delta.;Z and alpha's inner product is equal to the product of alpha and delta.;The dot product of z and alpha is alpha multiplied by delta.
720;\langle c, c \rangle = \delta \cdot \delta;The inner product of c and c equals delta times delta.;C and c's inner product is equal to the product of delta and delta.;The dot product of c and c is delta multiplied by delta.
721;\langle \eta, y \rangle = a \cdot \delta;The inner product of eta and y equals a times delta.;Eta and y's inner product is equal to the product of a and delta.;The dot product of eta and y is a multiplied by delta.
722;H_0 : \delta = 335;The null hypothesis states that delta equals 335.;Under the null hypothesis, delta is equal to 335.;For the null hypothesis, we assume that delta is 335.
723;H_0 : \alpha = 159;The null hypothesis states that alpha equals 159.;Under the null hypothesis, alpha is equal to 159.;For the null hypothesis, we assume that alpha is 159.
724;H_0 : b = 809;The null hypothesis states that b equals 809.;Under the null hypothesis, b is equal to 809.;For the null hypothesis, we assume that b is 809.
725;H_0 : c = 7922;The null hypothesis states that c equals 242.;Under the null hypothesis, c is equal to 242.;For the null hypothesis, we assume that c is 242.
726;H_0 : z = 402;The null hypothesis states that z equals 402.;Under the null hypothesis, z is equal to 402.;For the null hypothesis, we assume that z is 402.
727;H_0 : \epsilon = 557;The null hypothesis states that epsilon equals 557.;Under the null hypothesis, epsilon is equal to 557.;For the null hypothesis, we assume that epsilon is 557.
728;H_0 : \epsilon = 571;The null hypothesis states that epsilon equals 571.;Under the null hypothesis, epsilon is equal to 571.;For the null hypothesis, we assume that epsilon is 571.
729;H_0 : z = 335;The null hypothesis states that z equals 335.;Under the null hypothesis, z is equal to 335.;For the null hypothesis, we assume that z is 335.
730;H_0 : z = 664;The null hypothesis states that z equals 664.;Under the null hypothesis, z is equal to 664.;For the null hypothesis, we assume that z is 664.
731;H_0 : a = 847;The null hypothesis states that a equals 847.;Under the null hypothesis, a is equal to 847.;For the null hypothesis, we assume that a is 847.
732;H_0 : \delta = 734;The null hypothesis states that delta equals 734.;Under the null hypothesis, delta is equal to 734.;For the null hypothesis, we assume that delta is 734.
733;H_0 : a = 563;The null hypothesis states that a equals 563.;Under the null hypothesis, a is equal to 563.;For the null hypothesis, we assume that a is 563.
734;H_0 : \zeta = 500;The null hypothesis states that zeta equals 500.;Under the null hypothesis, zeta is equal to 500.;For the null hypothesis, we assume that zeta is 500.
735;H_0 : y = 90;The null hypothesis states that y equals 90.;Under the null hypothesis, y is equal to 90.;For the null hypothesis, we assume that y is 90.
736;H_0 : \alpha = 745;The null hypothesis states that alpha equals 745.;Under the null hypothesis, alpha is equal to 745.;For the null hypothesis, we assume that alpha is 745.
737;H_0 : \epsilon = 858;The null hypothesis states that epsilon equals 858.;Under the null hypothesis, epsilon is equal to 858.;For the null hypothesis, we assume that epsilon is 858.
738;H_0 : a = 997;The null hypothesis states that a equals 997.;Under the null hypothesis, a is equal to 997.;For the null hypothesis, we assume that a is 997.
739;H_0 : \eta = 203;The null hypothesis states that eta equals 203.;Under the null hypothesis, eta is equal to 203.;For the null hypothesis, we assume that eta is 203.
740;H_0 : x = 760;The null hypothesis states that x equals 760.;Under the null hypothesis, x is equal to 760.;For the null hypothesis, we assume that x is 760.
741;H_0 : \delta = 189;The null hypothesis states that delta equals 189.;Under the null hypothesis, delta is equal to 189.;For the null hypothesis, we assume that delta is 189.
742;H_a : y \neq 443;The alternative hypothesis is that y is not equal to 443.;Under the alternative hypothesis, y does not equal 443.;For the alternative hypothesis, y is different from 443.
743;H_a : \epsilon \neq 67;The alternative hypothesis is that epsilon is not equal to 67.;Under the alternative hypothesis, epsilon does not equal 67.;For the alternative hypothesis, epsilon is different from 67.
744;H_a : \alpha \neq 763;The alternative hypothesis is that alpha is not equal to 763.;Under the alternative hypothesis, alpha does not equal 763.;For the alternative hypothesis, alpha is different from 763.
745;H_a : \alpha \neq 313;The alternative hypothesis is that alpha is not equal to 313.;Under the alternative hypothesis, alpha does not equal 313.;For the alternative hypothesis, alpha is different from 313.
746;H_a : y \neq 4198;The alternative hypothesis is that y is not equal to 288.;Under the alternative hypothesis, y does not equal 288.;For the alternative hypothesis, y is different from 288.
747;H_a : a \neq 518;The alternative hypothesis is that a is not equal to 518.;Under the alternative hypothesis, a does not equal 518.;For the alternative hypothesis, a is different from 518.
748;H_a : \alpha \neq 296;The alternative hypothesis is that alpha is not equal to 296.;Under the alternative hypothesis, alpha does not equal 296.;For the alternative hypothesis, alpha is different from 296.
749;H_a : x \neq 802;The alternative hypothesis is that x is not equal to 802.;Under the alternative hypothesis, x does not equal 802.;For the alternative hypothesis, x is different from 802.
750;H_a : x \neq 180;The alternative hypothesis is that x is not equal to 180.;Under the alternative hypothesis, x does not equal 180.;For the alternative hypothesis, x is different from 180.
751;H_a : z \neq 8346;The alternative hypothesis is that z is not equal to 246.;Under the alternative hypothesis, z does not equal 246.;For the alternative hypothesis, z is different from 246.
752;H_a : b \neq 784;The alternative hypothesis is that b is not equal to 784.;Under the alternative hypothesis, b does not equal 784.;For the alternative hypothesis, b is different from 784.
753;H_a : \alpha \neq 485;The alternative hypothesis is that alpha is not equal to 485.;Under the alternative hypothesis, alpha does not equal 485.;For the alternative hypothesis, alpha is different from 485.
754;H_a : y \neq 143;The alternative hypothesis is that y is not equal to 143.;Under the alternative hypothesis, y does not equal 143.;For the alternative hypothesis, y is different from 143.
755;H_a : y \neq 78;The alternative hypothesis is that y is not equal to 78.;Under the alternative hypothesis, y does not equal 78.;For the alternative hypothesis, y is different from 78.
756;H_a : x \neq 785;The alternative hypothesis is that x is not equal to 785.;Under the alternative hypothesis, x does not equal 785.;For the alternative hypothesis, x is different from 785.
757;H_a : c \neq 6180;The alternative hypothesis is that c is not equal to 270.;Under the alternative hypothesis, c does not equal 270.;For the alternative hypothesis, c is different from 270.
758;H_a : y \neq 338;The alternative hypothesis is that y is not equal to 338.;Under the alternative hypothesis, y does not equal 338.;For the alternative hypothesis, y is different from 338.
759;H_a : \alpha \neq 365;The alternative hypothesis is that alpha is not equal to 365.;Under the alternative hypothesis, alpha does not equal 365.;For the alternative hypothesis, alpha is different from 365.
760;H_a : a \neq 191;The alternative hypothesis is that a is not equal to 191.;Under the alternative hypothesis, a does not equal 191.;For the alternative hypothesis, a is different from 191.
761;H_a : \alpha \neq 998;The alternative hypothesis is that alpha is not equal to 998.;Under the alternative hypothesis, alpha does not equal 998.;For the alternative hypothesis, alpha is different from 998.
762;t = \frac{{\bar c} - 237}{\sigma/\sqrt{n}};T equals the average of c minus 237, divided by the standard deviation over the square root of n.;T is equal to the mean of c subtract 237, all over the standard deviation divided by the square root of n.;T is the result of subtracting 237 from the mean of c, and then dividing that by the standard deviation over the square root of n.
763;t = \frac{{\bar z} - 960}{\sigma/\sqrt{n}};T equals z-bar minus 960, all over sigma divided by the square root of n.;T is equal to the mean of z minus 960, divided by the standard deviation over the square root of n.;T is the result of subtracting 960 from the average of z, then dividing by the standard deviation divided by the square root of n.
764;t = \frac{{\bar x} - 409}{\sigma/\sqrt{n}};T equals x bar minus 409, all over sigma divided by the square root of n.;T is equal to the mean x minus 409, divided by the standard deviation over the square root of the sample size.;T is the result of subtracting 409 from the average x, and then dividing by the standard deviation divided by the square root of n.
765;t = \frac{{\bar x} - 408}{\sigma/\sqrt{n}};T equals x bar minus 408, all over sigma divided by the square root of n.;T is equal to the mean x minus 408, divided by the standard deviation over the square root of the sample size.;T is the result of subtracting 408 from the average x, and then dividing that by the standard deviation divided by the square root of n.
766;t = \frac{{\bar a} - 715}{\sigma/\sqrt{n}};T equals the difference between a-bar and 715, divided by sigma over the square root of n.;T is equal to a-bar minus 715, all over sigma divided by the square root of n.;T is the result of subtracting 715 from a-bar, and then dividing by sigma over the square root of n.
767;t = \frac{{\bar x} - 453}{\sigma/\sqrt{n}};T equals x bar minus 453, all over sigma divided by the square root of n.;T is equal to the mean x minus 453, divided by the standard deviation over the square root of n.;T is the result of subtracting 453 from the average x, and then dividing by the standard deviation divided by the square root of n.
768;t = \frac{{\bar \delta} - 680}{\sigma/\sqrt{n}};T equals delta bar minus 680, all over sigma divided by the square root of n.;T is equal to the mean deviation minus 680, divided by the standard deviation over the square root of n.;T is the result of subtracting 680 from the average deviation, and then dividing that by the standard deviation divided by the square root of the sample size.
769;t = \frac{{\bar \eta} - 441}{\sigma/\sqrt{n}};T equals eta bar minus four hundred forty-one, all over sigma divided by the square root of n.;T is equal to the mean eta minus four hundred forty-one, divided by the standard deviation over the square root of n.;T is the result of subtracting four hundred forty-one from the average eta, and then dividing that by the standard deviation divided by the square root of n.
770;t = \frac{{\bar \delta} - 610}{\sigma/\sqrt{n}};T equals delta bar minus six hundred ten, all over sigma divided by the square root of n.;T is equal to the mean deviation minus six ten, divided by the standard deviation over the square root of n.;T is the result of subtracting six hundred ten from the average deviation, and then dividing that by the standard deviation over the square root of n.
771;t = \frac{{\bar c} - 136}{\sigma/\sqrt{n}};T equals the average of c minus 136, divided by the standard deviation over the square root of n.;T is equal to the mean of c subtract 136, all over the standard deviation divided by the square root of n.;T is the result of subtracting 136 from the mean of c, and then dividing that by the standard deviation over the square root of n.
772;t = \frac{{\bar \epsilon} - 862}{\sigma/\sqrt{n}};T equals epsilon bar minus eight hundred sixty-two, all over sigma divided by the square root of n.;T is equal to the mean of epsilon minus eight hundred sixty-two, divided by the standard deviation over the square root of n.;T is the result of subtracting eight hundred sixty-two from the average of epsilon, and then dividing that by the ratio of sigma to the square root of n.
773;t = \frac{{\bar \alpha} - 699}{\sigma/\sqrt{n}};T equals alpha bar minus 699, all over sigma divided by the square root of n.;T is equal to the mean alpha value minus 699, divided by the standard deviation over the square root of n.;T is the result of subtracting 699 from the average alpha, and then dividing that by the standard deviation divided by the square root of n.
774;t = \frac{{\bar c} - 684}{\sigma/\sqrt{n}};T equals the average of c minus 684, divided by the standard deviation over the square root of n.;T is equal to the mean of c subtract 684, all over the standard deviation divided by the square root of n.;T is the result of subtracting 684 from the mean of c, and then dividing that by the standard deviation over the square root of n.
775;t = \frac{{\bar \alpha} - 798}{\sigma/\sqrt{n}};T equals alpha bar minus seven hundred ninety-eight, all over sigma divided by the square root of n.;T is equal to the mean alpha value minus seven hundred ninety-eight, divided by the standard deviation over the square root of n.;T is the result of subtracting seven hundred ninety-eight from the average alpha, then dividing by sigma over the square root of n.
776;t = \frac{{\bar b} - 4838}{\sigma/\sqrt{n}};T equals b-bar minus 4838, all over sigma divided by the square root of n.;T is equal to the mean of b minus 4838, divided by the standard deviation over the square root of n.;T is the result of subtracting 4838 from the average of b, and then dividing that by the standard deviation over the square root of the sample size.
777;t = \frac{{\bar \delta} - 539}{\sigma/\sqrt{n}};T equals delta bar minus 539, all over sigma divided by the square root of n.;T is equal to the mean deviation minus 539, divided by the standard deviation over the square root of n.;T is the result of subtracting 539 from the average deviation, and then dividing that by the standard deviation over the square root of n.
778;t = \frac{{\bar \gamma} - 310}{\sigma/\sqrt{n}};T equals gamma bar minus 310, all over sigma divided by the square root of n.;T is equal to the mean gamma value minus 310, divided by the standard deviation over the square root of the sample size.;T is the result of subtracting 310 from the average gamma, and then dividing that by the standard deviation divided by the square root of n.
779;t = \frac{{\bar c} - 753}{\sigma/\sqrt{n}};T equals the average of c minus 753, divided by the standard deviation over the square root of n.;T is equal to the mean of c subtract 753, all over the standard deviation divided by the square root of n.;T is the result of subtracting 753 from the mean of c, and then dividing that by the standard deviation over the square root of n.
780;t = \frac{{\bar z} - 920}{\sigma/\sqrt{n}};T equals Z bar minus 920, all over sigma divided by the square root of n.;T is equal to the mean of Z minus 920, divided by the standard deviation over the square root of n.;T is the result of subtracting 920 from the average of Z, then dividing by the standard deviation divided by the square root of the sample size.
781;t = \frac{{\bar \beta} - 100}{\sigma/\sqrt{n}};T equals beta bar minus one hundred, all over sigma divided by the square root of n.;T is equal to the mean beta minus one hundred, divided by the standard deviation over the square root of n.;T is the result of subtracting one hundred from the average beta, and then dividing that by the standard deviation divided by the square root of n.
782;\chi^2 = \sum \frac{({observed}-{expected})^2}{{expected}};Chi square equals the sum of the square of the difference between observed and expected values, divided by the expected value.;Chi square is calculated by summing up the squared differences between observed and expected values, each divided by the expected value.;Chi square is the sum of the squared differences between observed and expected, each divided by the expected value.
783;F(b, \beta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(y,\delta) d\epsilon d\zeta;F of b, beta equals the double integral from zeta to eta of f of y, delta with respect to eflon and zeta.;The function F at b, beta is the double integral over the range from zeta to eta of the function f at y, delta, integrated first with respect to eflon and then with respect to zeta.;F at b, beta is given by the double integral from zeta to eta of f at y, delta, differentiating first with respect to eflon and then with respect to zeta.
784;F(\delta, c) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\zeta,\delta) d\epsilon d\zeta;F of delta, c equals the double integral from zeta to eta of f of zeta, delta with respect to ehlon and zeta.;The function F at delta, c is the double integral over the range from zeta to eta of the function f at zeta, delta, integrated first with respect to ehlon and then with respect to zeta.;F at delta, c is given by the double integral from zeta to eta of f at zeta, delta, differentiating first with respect to ehlon and then with respect to zeta.
785;F(z, \beta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\eta,\delta) d\epsilon d\zeta;F of z, beta equals the double integral from zeta to eta of f of eta, delta with respect to epsilon and zeta.;The function F at z, beta is the double integral over the range from zeta to eta of the function f at eta, delta, integrated first with respect to epsilon and then with respect to zeta.;F at z, beta is given by the double integral from zeta to eta of f at eta, delta, differentiating first with respect to epsilon and then with respect to zeta.
786;F(y, \eta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\eta,\delta) d\epsilon d\zeta;F of y, eta equals the double integral from zeta to eta of f of eta, delta with respect to ehlon and zeta.;The function F at y, eta is the double integral over the range from zeta to eta of the function f at eta, delta, integrated first with respect to ehlon and then with respect to zeta.;F at y, eta is given by the double integral from zeta to eta of f at eta, delta, differentiating first with respect to ehlon and then with respect to zeta.
787;F(c, b) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\epsilon,\delta) d\epsilon d\zeta;F of c, b equals the double integral from zeta to eta of f of epsilon, delta with respect to eflon and zeta.;The function F at c, b is the double integral over the range from zeta to eta of the function f at epsilon, delta, integrated first with respect to eflon and then with respect to zeta.;F at c, b is given by the double integral from zeta to eta of f at epsilon, delta, differentiating first with respect to eflon and then with respect to zeta.
788;F(c, b) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(c,\delta) d\epsilon d\zeta;F of c, b equals the double integral from zeta to eta of f of c, delta with respect to eglon and zeta.;The function F at c, b is the double integral over the range from zeta to eta of the function f at c, delta, integrated first with respect to eglon and then with respect to zeta.;F at c, b is given by the double integral from zeta to eta of f at c, delta, differentiating first with respect to eglon and then with respect to zeta.
789;F(\epsilon, \alpha) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(z,\delta) d\epsilon d\zeta;F of epsilon, alpha equals the double integral from zeta to eta of f of z, delta with respect to ehlon and zeta.;The function F at epsilon, alpha is the double integral over the range from zeta to eta of the function f at z, delta, integrated first with respect to ehlon and then with respect to zeta.;F at epsilon, alpha is given by the double integral from zeta to eta of f at z, delta, differentiating first with respect to ehlon and then with respect to zeta.
790;F(b, b) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(z,\delta) d\epsilon d\zeta;F of b, b equals the double integral from zeta to eta of f of z, delta with respect to ehlon and zeta.;The function F at b, b is the double integral over the range from zeta to eta of the function f at z, delta, integrated first with respect to ehlon and then with respect to zeta.;F at b, b is given by the double integral from zeta to eta of f at z, delta, differentiating first with respect to ehlon and then with respect to zeta.
791;F(\delta, \delta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\delta,\delta) d\epsilon d\zeta;F of delta, delta equals the double integral from zeta to eta of f of delta, delta with respect to epsilon and zeta.;The function F at delta, delta is the double integral over the range from zeta to eta of the function f at delta, delta, integrated first with respect to epsilon and then with respect to zeta.;F at delta, delta is given by the double integral from zeta to eta of f at delta, delta, differentiating first with respect to epsilon and then with respect to zeta.
792;F(c, \beta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\beta,\delta) d\epsilon d\zeta;F of c, beta equals the double integral from zeta to eta of f of beta, delta with respect to eglon and zeta.;The function F at c, beta is the double integral over the range from zeta to eta of the function f at beta, delta, integrated first with respect to eglon and then with respect to zeta.;F at c, beta is given by the double integral from zeta to eta of f at beta, delta, differentiating first with respect to eglon and then with respect to zeta.
